base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px
DSC_0267_segment_1_segmented_smoothed,0.7033918268816362,0.5424860350756291,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0267_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p13025496606492068_e54__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0267_segment_1_segmented_smoothed_mask.png,702758,515553
DSC_0268_segment_1_segmented_smoothed,0.7901430249278115,0.6530879609804011,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0268_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p057931728070700975_e74__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0268_segment_1_segmented_smoothed_mask.png,209085,246430
DSC_0269_segment_1_segmented_smoothed,0.8301333795253479,0.709596602720861,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0269_segment_1_segmented_smoothed__fused_INNER_mu0p13754664789590879_b0p2137768488048632_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0269_segment_1_segmented_smoothed_mask.png,149536,139114
DSC_0270_segment_1_segmented_smoothed,0.010034832689912348,0.005042717759465517,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0270_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p0426817011703894_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0270_segment_1_segmented_smoothed_mask.png,674,78849
DSC_0272_segment_1_segmented_smoothed,0.4902442424446278,0.3247175842789574,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0272_segment_1_segmented_smoothed__fused_INNER_mu0p2691115948395379_b0p01_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0272_segment_1_segmented_smoothed_mask.png,432798,191295
DSC_0273_segment_1_segmented_smoothed,0.8075518329354289,0.6772217487015516,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0273_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p15720188121969894_e67__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0273_segment_1_segmented_smoothed_mask.png,408462,412107
DSC_0274_segment_1_segmented_smoothed,0.639191006679916,0.469713978829921,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0274_segment_1_segmented_smoothed__fused_INNER_mu0p3052885632923193_b0p2484224786158723_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0274_segment_1_segmented_smoothed_mask.png,502533,345830
DSC_0275_segment_1_segmented_smoothed,0.666466982417372,0.4997753888580239,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0275_segment_1_segmented_smoothed__fused_INNER_mu0p3372195645364585_b0p014875827072890736_e79__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0275_segment_1_segmented_smoothed_mask.png,258228,222531
DSC_0277_segment_1_segmented_smoothed,0.732434281246935,0.5778274612597193,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0277_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p06718853388688237_e62__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0277_segment_1_segmented_smoothed_mask.png,361877,293035
DSC_0278_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0278_segment_1_segmented_smoothed__fused_INNER_mu0p05454822755826759_b0p09967992652372566_e60__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0278_segment_1_segmented_smoothed_mask.png,0,225691
DSC_0279_segment_1_segmented_smoothed,0.8258774181972899,0.7033996543438116,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0279_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p24066596058989112_e75__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0279_segment_1_segmented_smoothed_mask.png,77030,84609
DSC_0283_segment_1_segmented_smoothed,0.32832466005735605,0.19640456027102787,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0283_segment_1_segmented_smoothed__fused_INNER_mu0p2188991636823958_b0p22236037064512892_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0283_segment_1_segmented_smoothed_mask.png,141337,380957
DSC_0284_segment_1_segmented_smoothed,0.6527224901954861,0.4844751622775877,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0284_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p14454431285583647_e74__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0284_segment_1_segmented_smoothed_mask.png,231126,210253
DSC_0285_segment_1_segmented_smoothed,0.5611866905992539,0.39003440330488987,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0285_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p14909027439747688_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0285_segment_1_segmented_smoothed_mask.png,221036,390682
DSC_0286_segment_1_segmented_smoothed,0.5377159173847678,0.3677232924693305,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0286_segment_1_segmented_smoothed__fused_INNER_mu0p21882483135679706_b0p23801158405714035_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0286_segment_1_segmented_smoothed_mask.png,156544,77747
DSC_0287_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0287_segment_1_segmented_smoothed__fused_INNER_mu0p4392957324446358_b0p09767123002370723_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0287_segment_1_segmented_smoothed_mask.png,0,359147
DSC_0288_segment_1_segmented_smoothed,0.6864852304743003,0.5226322888795419,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0288_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p01214430804938325_e75__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0288_segment_1_segmented_smoothed_mask.png,422840,334598
DSC_0363_segment_1_segmented_smoothed,0.7242153012534004,0.5676626330170826,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0363_segment_1_segmented_smoothed__fused_INNER_mu0p06280084596405844_b0p1360422776307558_e72__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0363_segment_1_segmented_smoothed_mask.png,539215,569204
DSC_0364_segment_1_segmented_smoothed,0.6481710320987837,0.4794770991666959,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0364_segment_1_segmented_smoothed__fused_INNER_mu0p3157869123560566_b0p04963890075242917_e76__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0364_segment_1_segmented_smoothed_mask.png,464757,261937
DSC_0365_segment_1_segmented_smoothed,0.7648153678343262,0.6191911297450003,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0365_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p06727200501343471_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0365_segment_1_segmented_smoothed_mask.png,528308,580085
DSC_0370_segment_1_segmented_smoothed,0.7534250221237341,0.6043960736379537,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0370_segment_1_segmented_smoothed__fused_INNER_mu0p050412156982698055_b0p19700544226103892_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0370_segment_1_segmented_smoothed_mask.png,311147,290017
DSC_0371_segment_1_segmented_smoothed,0.7074566456785827,0.5473368791176803,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0371_segment_1_segmented_smoothed__fused_INNER_mu0p05055263889002354_b0p14526590059962963_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0371_segment_1_segmented_smoothed_mask.png,220996,249430
DSC_0372_segment_1_segmented_smoothed,0.7267831483873938,0.5708243238116735,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0372_segment_1_segmented_smoothed__fused_INNER_mu0p22408016873871262_b0p11249816479787536_e70__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0372_segment_1_segmented_smoothed_mask.png,229728,267174
DSC_0374_segment_1_segmented_smoothed,0.7141209519964923,0.5553562390687186,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0374_segment_1_segmented_smoothed__fused_INNER_mu0p23135142202082648_b0p19511963824033307_e68__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0374_segment_1_segmented_smoothed_mask.png,258175,227373
DSC_0376_segment_1_segmented_smoothed,0.7253560107461885,0.5690655719255528,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0376_segment_1_segmented_smoothed__fused_INNER_mu0p07243465854960478_b0p13836969800383456_e62__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0376_segment_1_segmented_smoothed_mask.png,358229,283114
DSC_0378_segment_1_segmented_smoothed,0.8291775770312808,0.7082009711847088,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0378_segment_1_segmented_smoothed__fused_INNER_mu0p1943683488568858_b0p17391445187963006_e55__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0378_segment_1_segmented_smoothed_mask.png,399728,389659
DSC_0379_segment_1_segmented_smoothed,0.7476018059315076,0.5969361896817156,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0379_segment_1_segmented_smoothed__fused_INNER_mu0p18550932452563185_b0p08524221144843626_e65__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0379_segment_1_segmented_smoothed_mask.png,398659,411117
DSC_0380_segment_1_segmented_smoothed,0.7524127052160675,0.6030942350582181,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0380_segment_1_segmented_smoothed__fused_INNER_mu0p17711067013784051_b0p02363938387202512_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0380_segment_1_segmented_smoothed_mask.png,300108,269170
DSC_0381_segment_1_segmented_smoothed,0.7077977045112482,0.5477452771770048,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0381_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10979055665726917_e68__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0381_segment_1_segmented_smoothed_mask.png,512361,502412
