branch,budget_name,dataset_name,target_name,runtime_sec_mean,uncertainty_mean,mae,rmse,r2,n_valid,n_total,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
full,large,primary,full_target,186.91030186894295,0.03854196724697732,0.07759726182240072,0.11433310940923595,-0.37168008243906714,174,174,0.13551029894930502,0.17821059788268928,-0.2695777472510712,0.12526665878130425,0.15642147613092278,-0.15188904059485964,0.0695741717474501,0.08594356675306207,-0.24623011794449812,0.017045003605429734,0.020942338054215973,-1.5087447369089424,0.07053304391862754,0.08840679925728953,-0.35500964846222827,0.03576889713399876,0.07668987212688029,-0.026990679538564155,0.08948275862068965,0.11728489726489418,-0.0433186063733102
full,large,primary,patch_target,186.91030186894295,0.03854196724697732,0.0780941123871366,0.10479490851859628,-2.9959264333763764,174,174,0.13566294563312414,0.1585352556913013,-2.8839440289828437,0.102634712437333,0.12698958424616685,-1.6576885157220063,0.05506565444170855,0.0697927193520748,-1.5440878974780188,0.01770925724942022,0.019955001242537546,-7.513499768354336,0.05554852931093351,0.06858738024004105,-4.271525936718847,0.100913596261722,0.12562544857813204,-1.8050581049344223,0.07912409137571456,0.0992915925344645,-1.2956807814441649
full,medium,external_unique,full_target,67.13583517074585,0.05123804585826885,0.11390725609078925,0.15236319605604337,-7.578770368234231,2,2,0.16801167697592456,0.23211407495602612,-2.6727604112906183,0.15878869961398254,0.1646149522641947,-17.615589030278176,0.09371788874865294,0.11907588200048383,-5.288916611917674,0.013879044860552001,0.0173790917336265,-0.5380481185754449,0.15795348243641266,0.15810022068793075,-23.744720380886346,0.0,0.0,1.0,0.205,0.20506096654409875,-4.191358024691354
full,medium,external_unique,patch_target,67.13583517074585,0.05123804585826885,0.08537795812751878,0.10945709815577061,-27.100534737665004,2,2,0.08930603608263785,0.12368598636309398,-7.505036933999465,0.12785485271535676,0.12963357811279333,-6.841280652814768,0.07710730580165275,0.1038282347553583,-18.861778233937564,0.013642144035413452,0.01413787401790175,-2.7873743382739566,0.07734194021274043,0.0900674688406917,-140.81742564080008,0.03619877094640375,0.03783290911422131,-10.831317122605844,0.1761946570984264,0.1767462780096461,-2.0595302412233325
full,medium,primary,full_target,80.99945597401981,0.03854196724697732,0.07542587573441926,0.11189584924107605,-0.35374271993422113,174,174,0.12663727653103016,0.17386317216234973,-0.2083908982641678,0.11998901408725784,0.14968737794265422,-0.05484402762930074,0.07158476945921843,0.08895274707207508,-0.3350275414792725,0.017565247929273543,0.02119483689285131,-1.5696045960885985,0.06936473334258739,0.08653974846749979,-0.298381473905458,0.03433434166513071,0.07508178423631426,0.01562711097749825,0.08850574712643676,0.11628344284746546,-0.02557761315025009
full,medium,primary,patch_target,80.99945597401981,0.03854196724697732,0.07657819959285012,0.10356551572852014,-2.963043376998325,174,174,0.12564207351356446,0.15204511566134665,-2.5724502913015046,0.10270875268663715,0.1279756735277083,-1.6991233037690474,0.05377421306449661,0.07120841950620034,-1.6483450289034804,0.0177263220501601,0.019958786231205797,-7.516729691096419,0.05690221184509215,0.06840569438945875,-4.2436347086301,0.10119176111894435,0.12506740972511973,-1.7801928446224822,0.07810206287105599,0.09896986394255894,-1.2808277706652471
full,small,external_unique,full_target,46.839911580085754,0.05123804585826885,0.11051429653591294,0.14217828893168347,-5.0606303353396545,2,2,0.20693333382298715,0.23983008788263374,-2.921001239736018,0.09703893949167855,0.09809136867070754,-5.609974901113441,0.1023726705618294,0.13049994817870522,-6.553511601629154,0.0191542134948694,0.021971038956856925,-1.4581985595794147,0.1266374851131583,0.12727404926093924,-15.03604703297388,0.026463433266867842,0.03742494623295984,0.0,0.195,0.1981161275615895,-3.845679012345676
full,small,external_unique,patch_target,46.839911580085754,0.05123804585826885,0.08738362024934103,0.11501178224098171,-19.95782652556426,2,2,0.13235273292349575,0.1390168731923278,-9.74410495989776,0.07011670231323366,0.08089732618301686,-2.0536574415981477,0.08458219856088099,0.11518418366433496,-23.444034339082368,0.01891731266973085,0.019338549784087094,-6.0862720791835505,0.05205930523029309,0.06948783116436329,-83.41336153012118,0.037462432949326496,0.03870672657584693,-11.384158742415675,0.2161946570984264,0.2162307955118338,-3.579196586651153
full,small,primary,full_target,74.44155772527058,0.03854196724697732,0.07575057616629731,0.11029694888402505,-0.3405977248561364,174,174,0.12286306995376345,0.16286087872530766,-0.06029275685479152,0.1233498023073293,0.15332265539820517,-0.1067016330308932,0.06740563167680487,0.08517827616754114,-0.22413464431146757,0.017552130938022967,0.02124836327850372,-1.582599772619809,0.06795943306181491,0.08406822845035362,-0.22527858863898764,0.04141132154818492,0.08059293266128466,-0.1341862913104852,0.08971264367816088,0.11771531995336942,-0.05099038722652516
full,small,primary,patch_target,74.44155772527058,0.03854196724697732,0.07360756451049026,0.09845306229091395,-2.794531066371526,174,174,0.11270589210334098,0.13643464795944837,-1.8765411897865922,0.09695394977507395,0.12145779324487595,-1.4311885933898658,0.05566207668802131,0.0695304586014598,-1.5250039354566387,0.018317971617814018,0.02050991753386456,-7.993576611875179,0.052007162446043156,0.06492206470865311,-3.7231589824683544,0.09937292697120743,0.12141951052417492,-1.6203757178202314,0.08023297197193094,0.1013504622827959,-1.3918724338038206
full,tiny,external_unique,full_target,31.90618407726288,0.05123804585826885,0.12046631174773277,0.14581527918893927,-8.971785356404913,2,2,0.12475645673828589,0.1423044675612735,-0.38046918224128,0.1963972912430957,0.20307922450151553,-27.331476889762012,0.12490194661470716,0.13259468800056776,-6.797950492854,0.01581092798636545,0.01736449165956093,-0.5354649934760269,0.15638633026127827,0.15655473717016216,-23.263308776007257,0.0150112293903968,0.02122908419179276,0.0,0.21000000000000002,0.2109502310972899,-4.493827160493825
full,tiny,external_unique,patch_target,31.90618407726288,0.05123804585826885,0.08650832059511497,0.11162100229490875,-26.27751440301923,2,2,0.0501758558387945,0.05121178659354384,-0.45805888746481904,0.13611214945416944,0.1483531083273367,-9.26940499952064,0.10071653750272616,0.111637212007969,-21.961758860187462,0.0155740271612269,0.015579974498661955,-3.599424587090068,0.07577478803760604,0.08896003446740047,-137.3514026751833,0.026010229072855454,0.033547636781298566,-8.302881427120921,0.20119465709842638,0.20208540486737975,-2.99966938456739
