branch,dataset_name,backbone,model_family,mae,rmse,r2,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
patch,external_unique,handcrafted,ridge,0.1041923152003245,0.1590843019621067,-0.5501669790126217,0.1753012572622032,0.2612059949798405,-0.9940966136255194,0.1512558468692284,0.2007058055788364,-0.5965669132365952,0.091789589494035,0.1144252159747252,-0.3981340442687369,0.0146223207081773,0.0214725936071521,-1.1988241997489264,0.0666217247825747,0.0782549500141949,-0.1098952478577832,0.0988328274415946,0.1284572102015821,-0.0060990402181781,0.1309226398444582,0.1801777437070382,-0.5475527941326128
patch,external_unique,handcrafted,mlp,0.1684915260766404,0.4068172776120461,-48.95607970792111,0.2027970271605094,0.3312614483082186,-2.207167985282385,0.196625539762355,0.3039066802961943,-2.660561839975937,0.1778639320618076,0.5216796222140015,-28.06116863500121,0.0979245054798831,0.2319741545130537,-255.62602660507207,0.1487439691720239,0.4065209837291297,-28.95189405378427,0.1943942380303306,0.6137435512257349,-21.96664971939733,0.1610914708695736,0.2975005388283515,-3.219089116934577
patch,external_unique,handcrafted,ensemble,0.1281763999394967,0.2441915178341083,-13.463312917578014,0.1821180130295369,0.2859260212827889,-1.3893912966774191,0.1676489642507507,0.2408800237665621,-1.299687505106256,0.1313521709163691,0.3033334641519253,-8.82530360244071,0.051092486495006,0.1224913949043411,-70.55379285269962,0.0998673625923502,0.2065048318629708,-6.728919623704722,0.1374755936100838,0.3180843246426167,-5.168908060167409,0.1276802086823804,0.1636838132265128,-0.2771874822499587
patch,primary,resnet,ridge,0.0759833342255849,0.1227880128885785,-0.0799090792156955,0.1103504595256533,0.1627934071168387,0.0287531291916312,0.1121236563734797,0.1635673676315809,-0.0257406408406732,0.0651763929561914,0.0975221482099459,-0.1730558170793124,0.0103410393609101,0.0160729547976528,-0.2517552463745265,0.0521616335721527,0.0779807798923628,-0.21978509754049,0.08446657611272,0.1242761804375182,0.1645641026543316,0.0972635816779871,0.1448717201011871,-0.0823439845208293
patch,primary,resnet,mlp,0.1333517501266248,0.2372636182052127,-35.605606117262056,0.1486260199996768,0.2549355524771978,-1.3818632146241798,0.1428224629329035,0.2469729807039986,-1.33853094237467,0.1163445894872556,0.203355481794539,-4.100631245072502,0.1183273897656817,0.2164793534855275,-226.070615994277,0.1396503515054277,0.2584346788582549,-12.397067802686546,0.1257450343467905,0.2178874029317676,-1.568038812046678,0.1419464028486377,0.2561058697058896,-2.382494809752853
patch,primary,resnet,ensemble,0.0900429940827011,0.1477615011009369,-8.787700283035973,0.1114094298335335,0.170255821152125,-0.0623312243180507,0.1068539892738118,0.1640962067317415,-0.0323841258024468,0.0755257024307591,0.1207893841493176,-0.7995739292748478,0.0595799238868256,0.1092464161377086,-56.82855907698329,0.0820453018732171,0.1443540595315429,-3.1799027528415147,0.0919872765509923,0.1483434278644306,-0.190348033813948,0.1028993347297684,0.1659846284972614,-0.4208028382177184
patch,external_unique,resnet,ridge,0.1468089465741616,0.2177273126357609,-2.0255951487428003,0.2362338077089196,0.2974835961185193,-1.5864611592458302,0.2263338957427092,0.2907484449343872,-2.3504416284090484,0.1134347801969454,0.143950776301291,-1.2127551070151328,0.0207665131059308,0.0285931379993433,-2.89892731798018,0.08816748904841,0.1109809431007784,-1.2323134570174443,0.1651190788125936,0.2661175254549291,-3.317881464014574,0.1776070614036227,0.2326594718845015,-1.580385907517392
patch,external_unique,resnet,mlp,0.3007572087298489,0.4157312322975002,-127.53363725063244,0.3272956914895991,0.4225422005385584,-4.218192483341746,0.3086340123719083,0.4016960128491715,-5.395320249771632,0.2286811862242241,0.2823654133291914,-7.513895745019768,0.3208376837314091,0.4170712090731178,-828.5487643189414,0.2751366287140326,0.3749868346342512,-24.48533789333497,0.2866607602105409,0.3780141399594786,-7.712441069078551,0.3580544983672278,0.5768337441045733,-14.861508994939026
patch,external_unique,resnet,ensemble,0.1901471761159443,0.2644361336295381,-32.97480507226725,0.2392161594404367,0.3053084617203234,-1.7243167310359715,0.2157263492483359,0.2802202012092205,-2.1121902371804167,0.1399555230686731,0.172970815434625,-2.194853841515148,0.1601752247217071,0.2102059135102096,-209.7227171253396,0.1486587577740088,0.2021759932496616,-6.408282346755012,0.197313654233643,0.2735546989596974,-3.56259711333328,0.2299845643248054,0.3576813229434935,-5.098678110711348
patch,primary,dino,ridge,0.0780765229847061,0.1163135208042146,0.0839587785126824,0.1174685756805756,0.1565594788527083,0.1017137722131872,0.1175101227815934,0.1578256421352681,0.0450088121735703,0.0639190036436238,0.0844197945923169,0.1209759832508482,0.0106848418605351,0.0142227577807552,0.0198431003184156,0.05092816344383,0.0687543126941757,0.0517822854094163,0.0875089529074151,0.1229798155129546,0.1819025994392489,0.0985160005753696,0.1345431641649552,0.06648489678409
patch,primary,dino,mlp,0.1287299500705364,0.2051498720708368,-22.68828722199408,0.1386612350012538,0.2139238620440814,-0.677159892697407,0.1357086738036716,0.2052168429010329,-0.6146196674935187,0.1248892517412693,0.2049046016019002,-4.178638336615862,0.1074200934931045,0.1721367404724725,-142.57377640045203,0.1302645975799948,0.2122075794482443,-8.032957310558684,0.1226701829848856,0.194556680228421,-1.0475269778925482,0.1414956158895756,0.2285314134593641,-1.6933319682484744
patch,primary,dino,ensemble,0.090152106779972,0.1350631690427323,-5.348245315984559,0.1141699124956879,0.158853740865618,0.0751934428518991,0.1133559559210759,0.1581918569860661,0.0405717928722115,0.0811091215311463,0.124144281647909,-0.9009276968290024,0.0536436394968964,0.0859160717136957,-34.76652913771964,0.0757879316177561,0.1165860469563239,-1.726473800169122,0.0883817766163256,0.129988296849531,0.0860007373996668,0.1046164097809158,0.1554110842637251,-0.245552550297927
patch,external_unique,dino,ridge,0.1274174451409009,0.1753459406222923,-0.8798134504540503,0.2171332436407754,0.2583150946115483,-0.9502014955093748,0.1877745730743804,0.2386367459289497,-1.257053697543756,0.1064265135948639,0.132859991208677,-0.8849236690335296,0.0172356677948653,0.0208899811078669,-1.0811222534779228,0.073527100650971,0.0908902824124357,-0.4972463426208071,0.1348623387507482,0.1690398471217006,-0.7422157898082673,0.1549626784797023,0.1913779655829977,-0.745930905184695
patch,external_unique,dino,mlp,0.2846551217818066,0.375470579532102,-83.14482775527901,0.3178323777607715,0.4136412048083628,-4.000662036206838,0.254475728428322,0.3298097933858182,-3.311162071352208,0.3082061474949324,0.4203426864192645,-17.867411439373655,0.2406965802474467,0.3313569095963996,-522.616786396439,0.2555081501519628,0.3399327615240701,-19.943265575702057,0.2842697554389767,0.361513844241379,-6.968445921156829,0.3315971129502341,0.4174226024446885,-7.306060846722486
patch,external_unique,dino,ensemble,0.1767644129469958,0.22820039653016,-21.078521309368124,0.2263782598525374,0.2807118575185757,-1.3030397371111868,0.1972904250549866,0.2429055148882424,-1.3385249348837318,0.1706389630302307,0.2286888010792979,-4.5846392526815976,0.1219894037271105,0.1664727047209067,-131.16229454372024,0.1394633236101245,0.1848961355443245,-5.196037300643571,0.1694611503630056,0.2125567139079624,-1.7546943456759738,0.2121293649909751,0.2595130902252275,-2.2104190508605592
